"","AreaCode","grand_mean","health_outcomes","health_outcomes.rank","overall.rank","risk_factors","risk_factors.rank","social_determinants","social_determinants.rank"
"1","E06000001",-0.854228863219443,-0.961279111806488,8,5,-1.09082583258796,1,-0.510581645263881,12
"2","E06000002",-0.873256072211233,-1.10705098182056,3,4,-0.763534525689688,5,-0.74918270912345,7
"3","E06000003",-0.360725655680149,-0.380834711901078,29,24,-0.448991765342678,19,-0.252350489796691,40
"4","E06000004",-0.245805514219814,-0.277264419375964,39,41,-0.220048736342467,41,-0.240103386941011,44
"5","E06000005",-0.207955720780469,-0.26661640542982,41,44,-0.234661268683252,40,-0.122589488228334,60
"6","E06000006",-0.319569561743383,-0.351758683202643,31,29,-0.183562706922455,44,-0.423387295105052,20
"7","E06000007",0.189598053605834,0.405047412510885,124,104,-0.0543148458057095,69,0.218061594112327,104
"8","E06000008",-0.41409317123075,-0.769823257883338,11,19,-0.168451814224972,46,-0.30400444158394,32
"9","E06000009",-1.13235881491398,-1.5268588627508,1,1,-0.959205419312858,3,-0.911012162678282,2
"10","E06000010",-1.07609726289184,-1.2414868138725,2,2,-1.05487965493761,2,-0.931925319865397,1
"11","E06000011",0.150347885946554,0.0546024163493165,73,98,0.0744181282773771,85,0.322023113212968,120
"12","E06000012",-0.323171908336704,0.0363847402474085,70,28,-0.56914067130537,10,-0.436759793952151,16
"13","E06000013",-0.0983998155145817,0.0913197577637981,77,56,-0.410683132740809,21,0.0241639284332661,78
"14","E06000014",0.149750942681141,0.305597537135012,111,97,-0.0144165403074866,72,0.158071831215899,99
"15","E06000015",-0.037359387002485,0.196121162607214,93,64,-0.147691726877652,51,-0.160507596737017,54
"16","E06000016",-0.292632645421181,-0.615541921681501,15,34,0.166436324679993,101,-0.428792339262035,18
"17","E06000017",0.479975617229473,0.771524609658711,145,138,0.22938693654138,106,0.439015305488328,131
"18","E06000018",-0.531307846123204,-0.544889428948429,18,12,-0.453092782098315,18,-0.59594132732287,11
"19","E06000019",0.0985986370063929,0.18420933337271,90,86,0.00982813003421066,78,0.101758447612258,88
"20","E06000020",-0.107185866802957,-0.0846399107727752,61,54,-0.0809589023885712,65,-0.155958787247525,55
"21","E06000021",-0.419989509350851,-0.437645732468352,24,18,-0.194392901700889,43,-0.627929893883313,9
"22","E06000022",0.379433870253874,0.359343280953437,119,128,0.4431145170574,132,0.335843812750785,122
"23","E06000023",0.0768542562753167,0.14761271489635,87,82,0.365383508720876,124,-0.282433454791276,37
"24","E06000024",0.326414343825873,0.327455136599941,114,121,0.366826088157517,125,0.284961806720161,114
"25","E06000025",0.635149521033447,0.561080336664281,139,146,0.604684032109022,144,0.739684194327039,149
"26","E06000026",-0.123135104814978,-0.087309373616789,60,51,-0.0347268973850232,71,-0.247369043443122,43
"27","E06000027",-0.399192583682548,-0.905143211962342,9,21,-0.104509816680961,63,-0.187924722404341,49
"28","E06000028",-0.0858348450261266,-0.185323788487127,52,60,-0.146374978270502,52,0.0741942316792498,82
"29","E06000029",0.26588934622324,0.22916949260753,98,116,0.112105753223928,90,0.456392792838261,133
"30","E06000030",0.112606832076828,0.0416723997189066,71,88,0.15067768939348,96,0.145470407118098,97
"31","E06000031",-0.00922518256632783,-0.192114480676891,50,68,0.245976813023474,109,-0.0815378800455666,66
"32","E06000032",-0.110998933418903,0.0224798246053393,67,52,-0.105265107789469,62,-0.250211517072579,42
"33","E06000033",-0.0255218595877186,-0.298647601106128,37,66,-0.0563995690599833,67,0.278481591402955,113
"34","E06000034",0.0167872539773842,0.102768249697389,79,73,-0.271244396430609,36,0.218837908665373,105
"35","E06000035",-0.00110585159056113,0.0502600833626783,72,69,0.0694805224861529,84,-0.123058160620515,59
"36","E06000036",0.646193896309335,0.654709041502271,142,148,0.612603325488252,145,0.671269321937482,145
"37","E06000037",0.558108984631495,0.639758994000298,141,142,0.322727942590676,117,0.71184001730351,148
