measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Hillingdon,Both,All Ages,Years,2017,69.93579823030646,73.04021627576483,66.56558066147902
HALE (Healthy life expectancy),Havering,Both,All Ages,Years,2017,69.37639607644043,72.34615664167474,66.07234064735901
HALE (Healthy life expectancy),Kingston upon Thames,Both,All Ages,Years,2017,70.62661067271807,73.74511453728722,67.19295336693874
HALE (Healthy life expectancy),Sutton,Both,All Ages,Years,2017,69.9634438675626,72.82776138423863,66.48333525008401
HALE (Healthy life expectancy),Harrow,Both,All Ages,Years,2017,71.456749804027,74.6241172645041,68.02593675327728
HALE (Healthy life expectancy),Enfield,Both,All Ages,Years,2017,70.23274480198442,73.17810946909448,66.8649957824514
HALE (Healthy life expectancy),Croydon,Both,All Ages,Years,2017,69.85376480605612,72.75304849171229,66.39888435987127
HALE (Healthy life expectancy),Hammersmith and Fulham,Both,All Ages,Years,2017,69.8611986640699,72.93530786618166,66.4442858081557
HALE (Healthy life expectancy),Ealing,Both,All Ages,Years,2017,70.19287324477418,73.31484082828709,66.72541420105472
HALE (Healthy life expectancy),Greenwich,Both,All Ages,Years,2017,69.4077161693194,72.40814270207973,66.06702246529474
HALE (Healthy life expectancy),Wandsworth,Both,All Ages,Years,2017,70.20620635938195,73.2214818292447,66.79370840847658
HALE (Healthy life expectancy),Waltham Forest,Both,All Ages,Years,2017,69.87914001799328,72.88152808047096,66.4849158782962
HALE (Healthy life expectancy),Camden,Both,All Ages,Years,2017,71.1375756131252,74.25767295837423,67.69590416801658
HALE (Healthy life expectancy),Lambeth,Both,All Ages,Years,2017,69.53871519889317,72.55831410112121,66.14286832187946
HALE (Healthy life expectancy),Lewisham,Both,All Ages,Years,2017,69.5388295120857,72.4820609121142,66.18766707594959
HALE (Healthy life expectancy),Hounslow,Both,All Ages,Years,2017,69.96702303424215,72.94894449224607,66.55736796189606
HALE (Healthy life expectancy),Southwark,Both,All Ages,Years,2017,69.02238896359337,72.0289183929065,65.80174039866057
HALE (Healthy life expectancy),Newham,Both,All Ages,Years,2017,69.80669723088539,72.7303742493158,66.40743345085394
HALE (Healthy life expectancy),Barking and Dagenham,Both,All Ages,Years,2017,68.42986283266367,71.28956623222952,65.24836732176537
HALE (Healthy life expectancy),Haringey,Both,All Ages,Years,2017,70.37784458404346,73.2691201005691,67.05465758702229
HALE (Healthy life expectancy),Hackney,Both,All Ages,Years,2017,68.94019010252468,71.93259955532574,65.51294035443169
HALE (Healthy life expectancy),Islington,Both,All Ages,Years,2017,69.60886753878557,72.58299440508121,66.29853814248285
HALE (Healthy life expectancy),Tower Hamlets,Both,All Ages,Years,2017,69.46013113909342,72.48217565596362,66.00664303974986
HALE (Healthy life expectancy),Wokingham,Both,All Ages,Years,2017,71.26923964759627,74.38615928982938,67.67500677266409
HALE (Healthy life expectancy),Buckinghamshire,Both,All Ages,Years,2017,71.04784407051908,74.136319133189,67.59298581777466
HALE (Healthy life expectancy),Surrey,Both,All Ages,Years,2017,70.5401149255225,73.55538368771118,67.07448009534932
HALE (Healthy life expectancy),Windsor and Maidenhead,Both,All Ages,Years,2017,70.65830157948263,73.76137500111345,67.1626783010321
HALE (Healthy life expectancy),West Berkshire,Both,All Ages,Years,2017,70.20167999598529,73.2292312331732,66.73162767744904
HALE (Healthy life expectancy),Hampshire,Both,All Ages,Years,2017,70.36207004343099,73.41182207806543,66.84079602342727
HALE (Healthy life expectancy),Bracknell Forest,Both,All Ages,Years,2017,71.00644428084534,74.02122802852713,67.53939657178631
HALE (Healthy life expectancy),West Sussex,Both,All Ages,Years,2017,69.89169359738028,72.82061445571529,66.48032526760042
HALE (Healthy life expectancy),Oxfordshire,Both,All Ages,Years,2017,70.7455048305695,73.72025285112281,67.34458833758212
HALE (Healthy life expectancy),Reading,Both,All Ages,Years,2017,68.91289557391525,71.8108807361152,65.52449159342515
HALE (Healthy life expectancy),Kent,Both,All Ages,Years,2017,69.61081600987832,72.47604899203772,66.27959289744196
HALE (Healthy life expectancy),Brighton and Hove,Both,All Ages,Years,2017,69.62552970383597,72.4671842507176,66.35047797846465
HALE (Healthy life expectancy),Medway,Both,All Ages,Years,2017,69.57577338740002,72.40143709236159,66.30082752161721
HALE (Healthy life expectancy),East Sussex,Both,All Ages,Years,2017,69.68222595058727,72.71406641196322,66.4033826491082
HALE (Healthy life expectancy),Portsmouth,Both,All Ages,Years,2017,69.02665515135328,71.98848571073528,65.57518503467979
HALE (Healthy life expectancy),Isle of Wight,Both,All Ages,Years,2017,69.98604641498194,73.00380214336992,66.64257628464989
HALE (Healthy life expectancy),Milton Keynes,Both,All Ages,Years,2017,69.85470449444655,72.79522847630304,66.50481202667392
HALE (Healthy life expectancy),Southampton,Both,All Ages,Years,2017,69.05620590632228,72.01237126225232,65.72170980120326
HALE (Healthy life expectancy),Slough,Both,All Ages,Years,2017,69.69621025223728,72.61115295120338,66.17987241256257
