"","Stand dev","Mean","n","Median","CoeffofVariation","Minimum","Maximun","Upper Quantile.100%","LowerQuartile.0%"
"X10501",1.35293266999704,4.21756529505479,150,4.04956856249833,0.32078523397928,1.47965474722565,7.91139240506329,7.91139240506329,1.47965474722565
"X20101",0.640183126271992,2.84450959348667,150,2.7699336115,0.225059225582462,1.569620253,5.29986053,5.29986053,1.569620253
"X20601",2.88623510000725,22.5228552985108,150,22.5936361484782,0.128146945036675,13.9206090266449,29.6173044925125,29.6173044925125,13.9206090266449
"X22304",2.74947823889002,20.3905333333333,150,20.465,0.134840918280216,13.94,30.47,30.47,13.94
"X30311",6.50029020718202,87.0166665934733,150,88.9123226556937,0.0747016687912242,66.6561712846348,95.7697983275947,95.7697983275947,66.6561712846348
"X90244",1.98317450450842,6.80605046827986,150,6.69523653771818,0.291384043323094,1.98968312453943,13.4199134199134,13.4199134199134,1.98968312453943
"X90245",8.34047421663145,35.9116531759418,150,35.7547955184016,0.232249798575661,16.9201520912548,60.472972972973,60.472972972973,16.9201520912548
"X90282",3.63888396490835,11.98,150,11.8,0.303746574700196,0.200000000000003,21.8,21.8,0.200000000000003
"X90631",3.18440475929228,71.4731144552542,150,71.3268229195784,0.0445538827230745,63.8613861386139,80.5009633911368,80.5009633911368,63.8613861386139
"X90638",6.80074351113542,34.6713333333333,150,34.4,0.196148888932319,21.5,55,55,21.5
"X90809",276.698625713845,659.221917216,150,588.68098705,0.419735173372857,321.3005578,2011.290815,2011.290815,321.3005578
"X90820",7.70223975092861,24.7438218228198,150,22.9924331695431,0.311279308672732,10.3957811040905,47.10498115,47.10498115,10.3957811040905
"X90832",41.6261322772181,124.781814259814,150,117.88150195,0.333591337200359,51.49083942,272.5906847,272.5906847,51.49083942
"X91116",11.2213337284312,48.4118138692,150,47.74286413,0.23178916119006,17.0020501,100,100,17.0020501
"X91126",1.47521749808856,4.67466666666667,150,4.55,0.315577046082835,1.7,10.3,10.3,1.7
"X91133",2.6098333165832,3.85153031848536,150,3.33291316966706,0.677609443720939,0.714384040486531,13.3021264262532,13.3021264262532,0.714384040486531
"X91307",9970.7503270479,17441.3832486667,150,13983.281,0.571671993264074,8020.5132,59480.098,59480.098,8020.5132
"X91463",77.3427777989488,143.4836725715,150,125.089581862597,0.539035392758069,38.5161029407045,575.194727381666,575.194727381666,38.5161029407045
"X91524",11.6302672586115,75.9816582933333,150,79.3375205,0.153066773216661,30.47607,91.936401,91.936401,30.47607
"X92196",1.16692309812555,3.82555235086001,150,3.59014389831535,0.305033885593859,1.74172679771087,8.05263674752038,8.05263674752038,1.74172679771087
